,0
1403,SPRY4
1404,ARHGAP26
1405,NR3C1
1406,YIPF5
1407,PLAC8L1
1408,PPP2R2B
1409,DPYSL3
1410,JAKMIP2
1411,SH3TC2
1412,AFAP1L1
1413,ARHGEF37
1414,PPARGC1B
1415,CSF1R
1416,PDGFRB
1417,SLC6A7
1418,TCOF1
1419,NDST1
1420,SYNPO
1421,MYOZ3
1422,ZNF300
1423,ANXA6
1424,FAT2
1425,SPARC
1426,NMUR2
1427,SAP30L
1428,FAXDC2
1429,GEMIN5
1430,CYFIP2
1431,ADAM19
1432,SOX30
1433,EBF1
1434,ADRA1B
1435,FABP6
1436,SLU7
1437,ATP10B
1438,TENM2
1439,WWC1
1440,SLIT3
1441,DOCK2
1442,GABRP
1443,STK10
1444,SH3PXD2B
1445,ERGIC1
1446,NKX2-5
1447,SIMC1
1448,HIGD2A
1449,CDHR2
1450,UNC5A
1451,HK3
1452,ZNF346
1453,FGFR4
1454,NSD1
1455,RAB24
1456,MXD3
1457,LMAN2
1458,RGS14
1459,GRK6
1460,DBN1
1461,PDLIM7
1462,DDX41
1463,B4GALT7
1464,N4BP3
1465,HNRNPAB
1466,COL23A1
1467,GRM6
1468,ZNF879
1469,C5orf60
1470,CBY3
1471,CANX
1472,MAML1
1473,TBC1D9B
1474,FLT4
1475,MGAT1
1476,ZFP62
1477,BTNL3
1478,TRIM7
1479,IRF4
1480,EXOC2
1481,FOXC1
1482,RIPK1
1483,TUBB2A
1484,TUBB2B
1485,PRPF4B
1486,RPP40
1487,LYRM4
1488,NRN1
1489,LY86
1490,CAGE1
1491,DSP
1492,MAK
1493,PHACTR1
1494,TBC1D7
1495,JARID2
1496,DTNBP1
1497,KIF13A
1498,RNF144B
1499,E2F3
1500,DCDC2
1501,MRS2
1502,KIAA0319
1503,FAM65B
1504,SCGN
1505,SLC17A4
1506,HIST1H4D
1507,HIST1H4H
1508,LOC285819
1509,HIST1H4I
1510,PRSS16
1511,HIST1H4J
1512,HIST1H4K
1513,HIST1H3J
1514,OR2B6
1515,ZSCAN12P1
1516,ZSCAN16
1517,ZSCAN16-AS1
1518,ZKSCAN8
1519,ZSCAN31
1520,ZSCAN12
1521,ZSCAN23
1522,OR14J1
1523,MAS1L
1524,HLA-F
1525,HLA-G
1526,TRIM31
1527,DHX16
1528,PPP1R18
1529,FLOT1
1530,DDR1
1531,VARS2
1532,SFTA2
1533,MUC22
1534,CCHCR1
1535,POU5F1
1536,PSORS1C3
1537,HLA-B
1538,MCCD1
1539,TNF
1540,PRRC2A
1541,BAG6
1542,ABHD16A
1543,LY6G6F
1544,LY6G6E
1545,DDAH2
1546,VWA7
1547,VARS
1548,LSM2
1549,EHMT2
1550,SKIV2L
1551,DXO
1552,STK19
1553,C4A
1554,CYP21A1P
1555,TNXA
1556,C4B
1557,CYP21A2
1558,TNXB
1559,ATF6B
1560,PRRT1
1561,PBX2
1562,NOTCH4
1563,BTNL2
1564,HLA-DRB6
1565,HLA-DRB1
1566,HLA-DQB1
1567,HLA-DQB2
1568,TAP2
1569,TAP1
1570,HLA-DMA
1571,BRD2
1572,HLA-DPA1
1573,RXRB
1574,WDR46
1575,PFDN6
1576,RGL2
1577,KIFC1
1578,PHF1
1579,PACSIN1
1580,UHRF1BP1
1581,ZNF76
1582,RPL10A
1583,MAPK13
1584,C6orf222
1585,ETV7
1586,PANDAR
1587,RAB44
1588,CPNE5
1589,PI16
1590,FGD2
1591,TMEM217
1592,MDGA1
1593,GLP1R
1594,KCNK5
1595,KCNK17
1596,KCNK16
1597,KIF6
1598,DAAM2
1599,MOCS1
1600,UNC5CL
1601,TREM2
1602,FOXP4
1603,MDFI
1604,TFEB
1605,MED20
1606,BYSL
1607,TAF8
1608,GLTSCR1L
1609,PEX6
1610,PPP2R5D
1611,MEA1
1612,CUL7
1613,MRPL2
1614,KLC4
1615,TTBK1
1616,ZNF318
1617,ABCC10
1618,POLR1C
1619,XPO5
1620,GTPBP2
1621,VEGFA
1622,RP5-1120P11.1
1623,TMEM63B
1624,NFKBIE
1625,AARS2
1626,RUNX2
1627,CLIC5
1628,GPR110
1629,TNFRSF21
1630,OPN5
1631,MUT
1632,GLYATL3
1633,C6orf141
1634,DEFB112
1635,PAQR8
1636,ICK
1637,FBXO9
1638,GCLC
1639,DST
1640,ZNF451
1641,PRIM2
1642,PHF3
1643,EYS
1644,BAI3
1645,COL9A1
1646,B3GAT2
1647,KCNQ5
1648,KHDC1L
1649,KHDC1
1650,MTO1
1651,FILIP1
1652,MEI4
1653,DOPEY1
1654,KIAA1009
1655,LOC102724201
1656,LOC101928870
1657,ZNF292
1658,C6orf165
